year,month,wdsp,station
2005,1,14.5,processed\Valentia_Observatory
2005,2,8.5,processed\Valentia_Observatory
2005,3,8.7,processed\Valentia_Observatory
2005,4,9.5,processed\Valentia_Observatory
2005,5,9.2,processed\Valentia_Observatory
2005,6,7.9,processed\Valentia_Observatory
2005,7,6.8,processed\Valentia_Observatory
2005,8,7.1,processed\Valentia_Observatory
2005,9,9.1,processed\Valentia_Observatory
2005,10,10.3,processed\Valentia_Observatory
2005,11,10.4,processed\Valentia_Observatory
2005,12,9.6,processed\Valentia_Observatory
2006,1,9.6,processed\Valentia_Observatory
2006,2,9.0,processed\Valentia_Observatory
2006,3,9.8,processed\Valentia_Observatory
2006,4,8.5,processed\Valentia_Observatory
2006,5,9.7,processed\Valentia_Observatory
2006,6,7.5,processed\Valentia_Observatory
2006,7,7.4,processed\Valentia_Observatory
2006,8,7.4,processed\Valentia_Observatory
2006,9,8.8,processed\Valentia_Observatory
2006,10,9.5,processed\Valentia_Observatory
2006,11,10.2,processed\Valentia_Observatory
2006,12,12.6,processed\Valentia_Observatory
2007,1,12.6,processed\Valentia_Observatory
2007,2,9.8,processed\Valentia_Observatory
2007,3,9.5,processed\Valentia_Observatory
2007,4,5.3,processed\Valentia_Observatory
2007,5,8.1,processed\Valentia_Observatory
2007,6,6.3,processed\Valentia_Observatory
2007,7,7.9,processed\Valentia_Observatory
2007,8,7.1,processed\Valentia_Observatory
2007,9,6.2,processed\Valentia_Observatory
2007,10,6.4,processed\Valentia_Observatory
2007,11,7.3,processed\Valentia_Observatory
2007,12,14.4,processed\Valentia_Observatory
2008,1,14.0,processed\Valentia_Observatory
2008,2,9.7,processed\Valentia_Observatory
2008,3,13.6,processed\Valentia_Observatory
2008,4,9.0,processed\Valentia_Observatory
2008,5,7.2,processed\Valentia_Observatory
2008,6,8.8,processed\Valentia_Observatory
2008,7,7.7,processed\Valentia_Observatory
2008,8,8.8,processed\Valentia_Observatory
2008,9,8.2,processed\Valentia_Observatory
2008,10,10.6,processed\Valentia_Observatory
2008,11,10.4,processed\Valentia_Observatory
2008,12,9.9,processed\Valentia_Observatory
2009,1,11.2,processed\Valentia_Observatory
2009,2,6.3,processed\Valentia_Observatory
2009,3,10.2,processed\Valentia_Observatory
2009,4,8.8,processed\Valentia_Observatory
2009,5,10.0,processed\Valentia_Observatory
2009,6,7.2,processed\Valentia_Observatory
2009,7,8.9,processed\Valentia_Observatory
2009,8,9.3,processed\Valentia_Observatory
2009,9,6.5,processed\Valentia_Observatory
2009,10,7.7,processed\Valentia_Observatory
2009,11,13.8,processed\Valentia_Observatory
2009,12,9.6,processed\Valentia_Observatory
2010,1,7.2,processed\Valentia_Observatory
2010,2,6.0,processed\Valentia_Observatory
2010,3,7.8,processed\Valentia_Observatory
2010,4,7.2,processed\Valentia_Observatory
2010,5,7.1,processed\Valentia_Observatory
2010,6,7.2,processed\Valentia_Observatory
2010,7,8.1,processed\Valentia_Observatory
2010,8,7.4,processed\Valentia_Observatory
2010,9,8.8,processed\Valentia_Observatory
2010,10,8.4,processed\Valentia_Observatory
2010,11,10.1,processed\Valentia_Observatory
2010,12,6.3,processed\Valentia_Observatory
2011,1,6.8,processed\Valentia_Observatory
2011,2,10.1,processed\Valentia_Observatory
2011,3,6.2,processed\Valentia_Observatory
2011,4,7.0,processed\Valentia_Observatory
2011,5,13.0,processed\Valentia_Observatory
2011,6,9.3,processed\Valentia_Observatory
2011,7,7.6,processed\Valentia_Observatory
2011,8,7.2,processed\Valentia_Observatory
2011,9,12.5,processed\Valentia_Observatory
2011,10,10.0,processed\Valentia_Observatory
2011,11,11.9,processed\Valentia_Observatory
2011,12,14.6,processed\Valentia_Observatory
2012,2,8.6,processed\Valentia_Observatory
2012,3,8.4,processed\Valentia_Observatory
2012,4,11.2,processed\Valentia_Observatory
2012,5,8.0,processed\Valentia_Observatory
2012,6,8.2,processed\Valentia_Observatory
2012,7,8.0,processed\Valentia_Observatory
2012,8,9.0,processed\Valentia_Observatory
2012,9,8.3,processed\Valentia_Observatory
2012,10,8.1,processed\Valentia_Observatory
2012,11,9.9,processed\Valentia_Observatory
2012,12,11.8,processed\Valentia_Observatory
2013,1,10.2,processed\Valentia_Observatory
2013,2,10.7,processed\Valentia_Observatory
2013,3,10.1,processed\Valentia_Observatory
2013,4,10.4,processed\Valentia_Observatory
2013,5,10.9,processed\Valentia_Observatory
2013,6,7.8,processed\Valentia_Observatory
2013,7,5.9,processed\Valentia_Observatory
2013,8,8.1,processed\Valentia_Observatory
2013,9,7.8,processed\Valentia_Observatory
2013,10,8.8,processed\Valentia_Observatory
2013,11,8.3,processed\Valentia_Observatory
2013,12,13.4,processed\Valentia_Observatory
2014,1,13.0,processed\Valentia_Observatory
2014,2,15.4,processed\Valentia_Observatory
2014,3,9.3,processed\Valentia_Observatory
2014,4,8.9,processed\Valentia_Observatory
2014,5,9.1,processed\Valentia_Observatory
2014,6,7.0,processed\Valentia_Observatory
2014,7,7.0,processed\Valentia_Observatory
2014,8,8.5,processed\Valentia_Observatory
2014,9,5.7,processed\Valentia_Observatory
2014,10,10.2,processed\Valentia_Observatory
2014,11,8.4,processed\Valentia_Observatory
